seq_name	tax_name	percent
056727cb37c9ab02a02eb277b75ebc92	Bacteria;Bacillota;Clostridia;Eubacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus orientis	86.166
0568e60c1b863bf4d7a7f9a9af257480	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium duncaniae	97.967
056af6acc90acabc8feedb6c039fbb1b	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia intestinalis	95.984
059d4fbaa97033358d294fa9e3f3c667	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Merdimmobilis;Merdimmobilis hominis	99.187
05a930c1eda8c55bfe6419d5f9b9b966	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium xylanophilum	96.371
05b20566ee9db38b006e6c0cbac9751b	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Sporobacter;Sporobacter termitidis	93.182
05b90ce027fa8ac39da4b37ea48a0883	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ercella;Ercella succinigenes	93.2
05c39acf5e0a016d2c775e86beea4f90	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pseudoclostridium;Pseudoclostridium thermosuccinogenes	89.96
05c50ea4a10d500e1e1345d6bfdfa1fa	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Anaerosacchariphilus;Anaerosacchariphilus polymeriproducens	95.582
05cd11a3c453cb2c850d4d827d6e8356	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	96.032
05dbbf0301a9625e1f1a41470a92f7fe	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Anaerostipes;Anaerostipes faecis	100.0
0623c631c35c40e09ca4122ef3a26d99	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia faecis	95.528
0630e79963b5efcb168bdd3e95fe2970	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Petroclostridium;Petroclostridium xylanilyticum	90.688
06333b39b1e15e58c044c459aee639c0	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium xylanophilum	95.565
063e2e7f2e26c3888b8fc11560a5f0c0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	99.2
06603a3cfeb670e2624daa02b5c11283	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	99.206
0662c842634c717ce871ce9989df2ab2	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus bovis	97.541
066716ae5688e9577f9c22581becfd86	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pseudescherichia;Pseudescherichia vulneris	99.429
067fd1434a703ee6d7c1b4b3b6c86974	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia porci	96.371
068da79321d7e19bc6973445cf8ccf46	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Intestinibacter;Intestinibacter bartlettii	99.197
06956df052f2c36b0e31b74a753f56ba	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Agathobacter;Agathobacter rectalis	99.597
06a949832d41993024d957bf91bcda90	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Anaerotruncus;Anaerotruncus rubiinfantis	99.19
06b16279aed2f160efea6f879fa48216	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia obeum	97.581
06cb8f13195d5152117b0caf6aa09623	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	97.984
06db9feb690babce66a41093d1383a2a	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium angulatum	99.598
06e1e11d48ea37c34bb6621bdbeedea7	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	98.857
06f825b512d903b9230e1a55d87359ee	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus periodonticum	100.0
0700fa6fff71fe8f6786e60b617004fb	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium minihomine	97.61
071305f0fb71417367c89c270b789d53	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia wexlerae	96.386
07172cb5707a18daa6ccf2b10a4191a0	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	96.414
073863b142b2c89a4c2ff7e4ade7060a	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pseudoclostridium;Pseudoclostridium thermosuccinogenes	89.558
073e3b63b0969e6d6f892d3897901e9c	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;[Pantoea] beijingensis	100.0
074712a698405212dc80af94a92f41aa	Bacteria;Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Haploplasma;Haploplasma modicum	89.451
07558ca783f1970f8d3b77cd71e484c2	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Solibaculum;Solibaculum mannosilyticum	95.582
075f22c9925fedfbb0ccad328d3bcd31	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis	100.0
07699fa14cb8970eee5e8dda19dd5dbe	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella porci	100.0
